SID	Run	Trial	Stage	Expression	Decision	Time
101	2	27	1	0	None	1414017749.41
101	2	27	1	0	None	1414017749.44
101	2	27	1	0	None	1414017749.47
101	2	27	1	0	None	1414017749.51
101	2	27	1	0	None	1414017749.55
101	2	27	1	0	None	1414017749.58
101	2	27	1	0	None	1414017749.61
101	2	27	1	0	None	1414017749.64
101	2	27	1	0	None	1414017749.67
101	2	27	1	0	None	1414017749.71
101	2	27	1	0	None	1414017749.74
101	2	27	1	0	None	1414017749.77
101	2	27	1	0	None	1414017749.81
101	2	27	1	0	None	1414017749.84
101	2	27	1	0	None	1414017749.88
101	2	27	1	0	None	1414017749.91
101	2	27	1	0	None	1414017749.94
101	2	27	1	0	None	1414017749.98
101	2	27	1	0	None	1414017750.01
101	2	27	1	0	None	1414017750.04
101	2	27	1	0	None	1414017750.07
101	2	27	1	0	None	1414017750.1
101	2	27	1	0	None	1414017750.14
101	2	27	1	0	None	1414017750.17
101	2	27	1	0	None	1414017750.2
101	2	27	1	0	None	1414017750.23
101	2	27	1	0	None	1414017750.27
101	2	27	1	0	None	1414017750.3
101	2	27	1	0	None	1414017750.37
101	2	27	1	0	None	1414017750.4
101	2	27	1	0	None	1414017750.43
101	2	27	1	0	None	1414017750.47
101	2	27	1	0	None	1414017750.5
101	2	27	1	0	None	1414017750.53
101	2	27	1	0	None	1414017750.57
101	2	27	1	0	None	1414017750.6
101	2	27	1	0	None	1414017750.64
101	2	27	1	0	None	1414017750.67
101	2	27	1	0	None	1414017750.7
101	2	27	1	0	None	1414017750.73
101	2	27	1	0	None	1414017750.76
101	2	27	1	0	None	1414017750.8
101	2	27	1	0	None	1414017750.83
101	2	27	1	0	None	1414017750.86
101	2	27	1	0	None	1414017750.9
101	2	27	1	0	None	1414017750.93
101	2	27	1	0	None	1414017750.97
101	2	27	1	0	None	1414017751
101	2	27	1	0	None	1414017751.03
101	2	27	1	0	None	1414017751.06
101	2	27	1	0	None	1414017751.09
101	2	27	1	0	None	1414017751.13
101	2	27	1	0	None	1414017751.16
101	2	27	1	0	None	1414017751.19
101	2	27	1	0	None	1414017751.23
101	2	27	1	0	None	1414017751.26
101	2	27	1	0	None	1414017751.29
101	2	27	1	0	None	1414017751.33
101	2	27	1	0	None	1414017751.36
101	2	27	1	0	None	1414017751.39
101	2	27	1	0	None	1414017751.43
101	2	27	1	0	None	1414017751.46
101	2	27	1	0	None	1414017751.49
101	2	27	1	0	None	1414017751.52
101	2	27	1	0	None	1414017751.55
101	2	27	1	0	None	1414017751.59
101	2	27	2	1	None	1414017751.63
101	2	27	2	1	None	1414017751.66
101	2	27	2	1	None	1414017751.69
101	2	27	2	1	None	1414017751.73
101	2	27	2	1	None	1414017751.76
