Frame	Acquired	Time
1091	True	1414017511.71
1092	True	1414017512.16
1093	True	1414017512.62
1094	True	1414017513.07
1095	True	1414017513.54
1096	True	1414017513.99
1097	True	1414017514.45
1098	True	1414017514.91
1099	True	1414017515.37
1100	True	1414017515.83
1101	True	1414017516.29
1102	True	1414017516.75
1103	True	1414017517.21
1104	True	1414017517.67
1105	True	1414017518.13
1106	True	1414017518.59
1107	True	1414017519.04
1108	True	1414017519.5
1109	True	1414017519.97
1110	True	1414017520.42
1111	True	1414017520.89
1112	True	1414017521.35
1113	True	1414017521.8
1114	True	1414017522.26
1115	True	1414017522.72
1116	True	1414017523.18
1117	True	1414017523.64
1118	True	1414017524.1
1119	True	1414017524.56
1120	True	1414017525.04
1121	True	1414017525.5
1122	True	1414017525.96
1123	True	1414017526.42
1124	True	1414017526.88
1125	True	1414017527.33
1126	True	1414017527.79
1127	True	1414017528.25
1128	True	1414017528.7
1129	True	1414017529.16
1130	True	1414017529.62
1131	True	1414017530.08
1132	True	1414017530.53
1133	True	1414017530.99
1134	True	1414017531.44
1135	True	1414017531.9
1136	True	1414017532.36
1137	True	1414017532.81
1138	True	1414017533.27
1139	True	1414017533.72
1140	True	1414017534.18
1141	True	1414017534.63
1142	True	1414017535.09
1143	True	1414017535.55
1144	True	1414017536.0
1145	True	1414017536.46
1146	True	1414017536.92
1147	True	1414017537.37
1148	True	1414017537.83
1149	True	1414017538.28
1150	True	1414017538.74
1151	True	1414017539.2
1152	True	1414017539.66
1153	True	1414017540.11
1154	True	1414017540.57
1155	True	1414017541.03
1156	True	1414017541.49
1157	True	1414017541.94
1158	True	1414017542.4
1159	True	1414017542.86
1160	True	1414017543.31
1161	True	1414017543.77
1162	True	1414017544.23
1163	True	1414017544.69
1164	True	1414017545.15
1165	True	1414017545.6
1166	True	1414017546.06
1167	True	1414017546.51
1168	True	1414017546.97
1169	True	1414017547.43
1170	True	1414017547.88
1171	True	1414017548.34
1172	True	1414017548.8
1173	True	1414017549.25
1174	True	1414017549.71
1175	True	1414017550.17
1176	True	1414017550.63
1177	True	1414017551.08
1178	True	1414017551.54
1179	True	1414017551.99
1180	True	1414017552.45
1181	True	1414017552.91
1182	True	1414017553.37
1183	True	1414017553.83
1184	True	1414017554.28
1185	True	1414017554.74
1186	True	1414017555.21
1187	True	1414017555.67
1188	True	1414017556.12
1189	True	1414017556.58
1190	True	1414017557.03
1191	True	1414017557.49
1192	True	1414017557.95
1193	True	1414017558.4
1194	True	1414017558.86
1195	True	1414017559.32
1196	True	1414017559.78
1197	True	1414017560.24
1198	True	1414017560.7
1199	True	1414017561.15
1200	True	1414017561.61
1201	True	1414017562.07
1202	True	1414017562.53
1203	True	1414017562.99
1204	True	1414017563.45
1205	True	1414017563.9
1206	True	1414017564.36
1207	True	1414017564.82
1208	True	1414017565.28
1209	True	1414017565.74
1210	True	1414017566.19
1211	True	1414017566.65
1212	True	1414017567.11
1213	True	1414017567.57
1214	True	1414017568.03
1215	True	1414017568.49
1216	True	1414017568.95
1217	True	1414017569.4
1218	True	1414017569.86
1219	True	1414017570.32
1220	True	1414017570.77
