FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
31	426	640	229	158	191	191	270.625	209.08	289.518	207.302	308.501	210.282	344.392	211.042	363.829	208.177	382.285	211.445	326.112	255.98	-2.30851	15.6665	2.10632	-0.342853	-1.32638	-0.678079	-2.29393	-1.18313	-0.749408	-1.52968	0.507128	0.56495	-0.991855	-0.711168	-0.42256	-1.24849	-0.830109	-1.54416	-0.455461	-1.03396	-1.05542	-1.58471	0.238694	-0.549308	0.0792374	0.316248	0.1512	-0.554455	-0.78255	0.622899	0.579375	-0.672723	-0.349806	-1.53847
32	426	640	229	157	192	192	271.362	208.176	290.438	206.141	309.472	209.672	345.587	210.71	364.385	209.359	383.721	211.404	326.626	255.888	-2.60786	16.6802	0.71463	-0.415542	-1.26171	-0.701445	-2.09121	-1.30599	-0.657307	-1.6822	0.282371	0.687488	-0.863493	-0.739363	-0.424066	-1.25221	-0.830897	-1.64028	-0.494602	-1.01962	-0.941107	-1.40703	0.247544	-0.475792	-0.0198713	0.267751	0.108729	-0.817617	-0.839542	0.579277	0.572217	-0.660323	-0.226773	-1.51097
33	426	640	231	158	191	191	271.645	209.756	290.833	207.639	309.611	210.64	345.584	211.099	363.479	209.333	383.56	211.184	327.757	256.149	-2.04748	15.9946	1.09486	-0.769959	-1.09534	-0.933917	-2.01213	-1.17643	-0.793283	-1.52237	0.140844	0.128506	-0.749533	-1.19943	-0.465893	-1.25262	-0.83035	-1.57847	-0.598208	-1.02139	-0.961285	-1.48898	0.00941572	-0.626532	-0.127152	-0.0205279	0.0298441	-0.889334	-0.69599	0.474746	0.601458	-0.538163	-0.242862	-1.40465
34	426	640	229	157	194	194	270.917	208.247	291.005	206.221	309.377	209.702	345.824	210.696	364.815	209.068	384.306	211.341	326.944	256.653	-2.60072	15.9946	1.91027	-0.838638	-1.09854	-1.05213	-1.65167	-1.3151	-0.865762	-1.78621	0.203461	-0.210394	-0.456263	-0.891972	-0.668702	-1.25182	-0.828674	-1.56973	-0.754753	-1.02079	-0.921933	-0.892339	0.302761	-0.640373	-0.128812	0.27493	0.335827	-0.75582	-0.804052	0.536555	0.499212	-0.656065	-0.278273	-1.31356
35	426	640	229	157	193	193	271.012	208.399	290.519	207.054	309.346	209.666	345.67	210.484	364.939	209.14	384.022	210.944	326.985	256.096	-2.6296	16.3543	2.03024	-0.649318	-1.04937	-0.896847	-2.06357	-1.26558	-0.663845	-1.54031	0.117822	0.355785	-0.794203	-0.84052	-0.767359	-1.25247	-0.830287	-1.56239	-0.696292	-1.02476	-0.975003	-1.08181	0.311913	-0.577338	-0.156089	0.217736	0.280732	-0.751414	-0.834152	0.511709	0.540972	-0.669659	-0.22566	-1.4912
36	426	640	231	157	191	191	271.89	208.634	291.109	207.093	309.792	209.743	345.705	210.415	365.05	209.069	383.622	210.725	327.272	255.494	-2.19161	15.8927	2.09651	-0.715655	-1.00247	-0.790037	-1.86289	-1.30338	-0.68495	-1.54439	0.127479	0.288533	-0.671209	-1.0145	-0.556883	-1.25278	-0.830549	-1.62571	-0.628003	-1.0164	-0.878871	-1.48229	0.1113	-0.492892	-0.131616	0.138016	0.0954035	-0.932272	-0.809414	0.541574	0.680645	-0.606842	-0.217753	-1.60393
37	426	640	230	158	190	190	271.115	208.532	289.893	206.485	308.807	209.831	344.524	210.686	363.171	208.416	382.234	211.191	326.489	256.084	-2.04162	16.1219	1.52191	-0.423616	-1.1925	-0.723735	-2.11758	-1.14356	-0.817433	-1.40347	0.449467	0.32373	-0.877383	-0.989616	-0.467792	-1.25002	-0.829645	-1.57626	-0.589803	-1.06503	-1.04193	-1.616	0.186613	-0.44866	-0.0347686	0.103247	0.116871	-0.85541	-0.749709	0.55831	0.560538	-0.623566	-0.269126	-1.60072
38	426	640	229	160	189	189	270.093	210.028	288.589	207.527	307.553	211.36	343.05	212.249	362.821	209.814	380.53	212.792	325.16	256.987	-3.03025	16.1899	1.28971	-0.820044	-1.15144	-0.867199	-1.95867	-1.12885	-0.495393	-1.52306	0.539835	-0.040278	-0.678261	-0.898557	-0.290176	-1.21335	-0.802992	-1.33862	-0.585068	-1.07907	-1.16155	-1.60045	0.142035	-0.416338	0.104018	0.355151	0.282022	-0.523039	-0.875425	0.641897	0.590638	-0.634543	-0.306132	-1.6512
39	426	640	228	160	191	191	268.449	211.403	288.111	209.107	306.295	211.964	342.151	212.117	362.857	210.031	380.001	211.88	324.083	257.654	-1.29547	14.3378	0.175981	-0.985289	-0.94308	-1.08063	-1.78612	-1.20765	-0.511416	-1.59463	0.481175	-0.39345	-0.495079	-0.935233	-0.423646	-1.22997	-0.825783	-1.35887	-0.656225	-1.09649	-1.24848	-1.38591	0.183309	-0.443732	0.14675	0.243262	0.357481	-0.782946	-0.846588	0.596518	0.621897	-0.621116	-0.383948	-1.48205
40	426	640	227	160	191	191	268.218	211.241	287.898	210.177	306.204	212.066	342.196	212.469	361.607	211.825	380.192	212.495	323.793	257.624	-1.18937	14.5258	0.0532462	-0.781812	-1.07432	-0.979678	-1.73817	-1.29173	-0.6786	-1.74357	0.697239	-0.386853	-0.490295	-0.78177	-0.351028	-1.23918	-0.826033	-1.37037	-0.60456	-1.07229	-1.15049	-1.2139	0.266236	-0.52271	0.127364	0.423323	0.317678	-0.37409	-0.871148	0.626054	0.597645	-0.696957	-0.409972	-1.54188
