FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
31	426	640	239	154	181	181	278.873	200.694	296.221	199.185	314.737	202.723	348.73	204.288	366.7	203.558	384.629	205.561	331.288	244.972	-4.45733	13.2164	3.31235	-1.32533	-1.14069	-0.567661	-1.86805	-0.84948	-0.534202	-1.39066	1.04432	-0.551789	-0.600544	-1.45964	-1.61231	-1.10316	-0.819306	-1.49463	-0.18598	-0.91569	-0.40314	-1.56834	-0.13822	-1.13131	-0.300636	-0.426446	-0.443699	-0.687415	-0.467462	0.11169	0.263584	-0.2734	-0.0856648	-1.18977
32	426	640	237	153	183	183	277.994	200.399	295.868	199.605	314.195	202.627	348.509	204.376	366.851	203.271	384.749	205.841	330.664	245.285	-4.6847	13.2989	3.7529	-1.30749	-1.04432	-0.347277	-1.62542	-0.962256	-0.652205	-1.36222	0.82278	-0.363272	-0.492078	-1.53223	-0.993668	-1.14012	-0.821395	-1.36918	-0.37873	-0.961166	-0.492846	-1.38467	-0.219804	-1.03086	-0.341953	-0.431519	-0.356981	-0.615466	-0.550319	0.0394258	0.335644	-0.35177	-0.17391	-1.41786
33	426	640	238	153	182	182	278.928	200.536	295.553	199.028	314.944	202.716	349.082	204.423	368.088	204.156	385.135	205.845	331.748	245.225	-4.08462	12.9333	2.45818	-1.34063	-1.024	-0.46896	-1.76912	-0.950093	-0.550017	-1.3328	0.873233	-0.446476	-0.550977	-1.59327	-1.38437	-1.12918	-0.822751	-1.52518	-0.196904	-0.936274	-0.3911	-1.58431	-0.143339	-1.15349	-0.375852	-0.421486	-0.372037	-0.764405	-0.554819	0.0515887	0.259957	-0.232582	-0.0591976	-1.29024
34	426	640	238	153	182	182	278.786	200.19	295.931	198.011	314.877	202.476	349.086	204.282	366.577	203.998	385.216	205.808	331.455	245.376	-4.47471	13.4229	3.3529	-1.27964	-1.03875	-0.486798	-1.74991	-0.969267	-0.673386	-1.4585	0.952972	-0.487553	-0.547857	-1.49504	-1.2314	-1.15322	-0.82782	-1.49376	-0.234197	-0.922758	-0.417379	-1.49327	-0.175938	-0.904198	-0.362988	-0.537301	-0.335678	-0.861253	-0.480612	0.0446783	0.208767	-0.291505	-0.0867824	-1.22408
35	426	640	238	153	183	183	278.42	200.445	295.499	198.193	314.623	202.678	348.939	204.433	366.58	204.281	385.181	205.904	331.16	245.649	-4.73077	13.611	2.83497	-1.25833	-0.936548	-0.399228	-1.75079	-0.893838	-0.529254	-1.35495	0.729501	-0.137394	-0.604315	-1.53445	-1.03248	-1.15224	-0.825536	-1.45124	-0.326705	-0.955201	-0.461314	-1.34515	-0.206042	-1.08096	-0.225885	-0.514074	-0.30155	-0.741289	-0.56464	-0.00138623	0.298887	-0.298356	-0.116397	-1.22654
36	426	640	237	153	184	184	278.451	200.514	295.682	198.659	314.808	202.758	349.271	204.521	366.751	204.157	385.667	205.999	331.285	246.216	-4.81537	13.5281	2.99104	-1.29919	-1.02479	-0.300743	-1.88326	-0.829622	-0.608635	-1.16984	0.48723	0.0662841	-0.723453	-1.5569	-1.32122	-1.17294	-0.827512	-1.39484	-0.31371	-1.00883	-0.582726	-1.31193	-0.151967	-1.0195	-0.338199	-0.432287	-0.184792	-0.720466	-0.609392	-0.0381769	0.344842	-0.271655	-0.115524	-1.10187
37	426	640	237	153	184	184	278.087	200.484	295.324	198.349	314.573	202.741	349.157	204.515	366.487	204.317	385.682	206.003	331.144	246.377	-4.9876	13.6744	2.96773	-1.20743	-1.05326	-0.407979	-1.8505	-0.762441	-0.716855	-1.12901	0.586528	-0.131049	-0.696364	-1.56613	-1.25677	-1.17846	-0.829684	-1.37293	-0.430717	-0.978034	-0.4708	-1.21475	-0.2076	-1.11072	-0.381462	-0.495795	-0.125657	-0.743203	-0.702219	-0.0104249	0.284753	-0.267983	-0.096906	-1.21806
38	426	640	237	153	184	184	278.038	200.616	295.811	198.444	314.416	202.757	348.897	204.421	366.214	204.145	385.312	205.795	331.279	246.607	-4.80481	13.8791	4.42318	-1.29905	-1.04599	-0.475989	-1.77052	-0.655749	-0.621368	-1.20435	0.604379	-0.173353	-0.638541	-1.84305	-1.06785	-1.15747	-0.826602	-1.35404	-0.342464	-1.00936	-0.529956	-1.23879	-0.209093	-1.03169	-0.371524	-0.483929	-0.111616	-0.693927	-0.628609	0.0390923	0.34023	-0.274313	-0.0564047	-1.25491
39	426	640	239	154	181	181	279.169	200.28	296.61	198.938	314.996	202.607	348.956	204.455	366.39	203.647	384.823	206.027	331.711	245.121	-4.31753	13.3252	3.27155	-1.32298	-1.11276	-0.568291	-1.78313	-0.870526	-0.56881	-1.37555	1.0886	-0.656399	-0.535018	-1.42843	-1.41973	-1.08508	-0.808588	-1.52014	0.0319225	-0.933549	-0.375533	-1.63073	-0.22132	-0.917259	-0.272271	-0.4739	-0.455998	-0.88624	-0.453734	0.0808885	0.298693	-0.246773	-0.053883	-1.22674
40	426	640	239	154	181	181	279.215	200.772	296.51	198.134	315.119	202.961	349.151	204.677	367.009	204.854	385.093	206.109	331.012	245.721	-4.3391	13.2781	3.01163	-1.3991	-1.11917	-0.47388	-1.86396	-0.739102	-0.465026	-1.27024	1.02039	-0.481029	-0.620786	-1.64963	-1.62503	-1.1123	-0.810238	-1.48697	0.0506634	-1.01343	-0.648317	-1.66133	-0.199949	-1.14228	-0.319636	-0.480825	-0.430576	-0.806238	-0.521068	0.0324484	0.241719	-0.319387	-0.0961621	-1.32181
