FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
31	426	640	239	152	182	182	282.62	195.699	299.667	196.027	318.459	200.436	352.455	204.566	370.797	205.653	388.386	208.549	331.587	244.321	-7.63201	11.7742	0.428354	-1.01866	-1.13472	-0.460318	-1.62493	-0.867529	-0.762228	-1.39998	0.538567	-0.0120119	-0.567383	-1.55003	-0.910044	-1.10843	-0.810292	-1.32038	0.0337362	-0.953608	-0.813172	-2.21014	-0.378347	-0.948046	-0.175356	-0.281491	-0.415256	-0.270988	-0.611342	0.218286	0.437656	-0.467791	-0.217633	-1.04611
32	426	640	239	152	182	182	282.765	195.363	299.838	195.713	318.515	200.305	352.43	204.63	370.944	205.343	388.276	208.819	330.559	244.229	-7.8554	12.3192	1.41774	-1.12256	-1.21866	-0.568757	-1.60492	-0.808404	-0.814213	-1.41906	0.683871	-0.334382	-0.505766	-1.61246	-0.987207	-1.06013	-0.793517	-1.17058	0.21591	-0.913276	-0.705346	-2.38747	-0.276575	-1.14205	-0.132428	-0.17808	-0.407494	-0.381129	-0.715894	0.271635	0.445357	-0.524484	-0.233235	-1.0758
33	426	640	238	152	181	181	282.592	195.556	299.257	196.189	318.279	200.462	352.132	204.753	370.536	205.817	387.914	208.906	331.16	243.417	-7.42895	11.8342	0.322076	-1.08478	-1.2109	-0.364373	-1.68258	-0.735306	-0.731006	-1.45335	0.692745	0.0392855	-0.629764	-1.43153	-1.01647	-1.03586	-0.753832	-1.33247	0.358873	-0.917839	-0.740983	-2.43145	-0.302396	-1.14682	-0.124795	-0.187853	-0.536634	-0.188053	-0.585705	0.238399	0.368488	-0.489942	-0.340856	-0.679481
34	426	640	238	152	183	183	282.328	195.538	299.278	195.557	318.275	200.347	352.374	204.545	371.613	205.072	388.415	208.597	331.223	244.223	-7.89758	12.0256	0.576125	-0.904525	-1.08283	-0.396827	-1.75462	-0.875749	-0.735421	-1.38889	0.375383	0.367556	-0.704881	-1.36572	-0.908411	-1.12884	-0.812046	-1.29316	0.0025295	-0.925671	-0.820209	-2.0644	-0.301242	-0.84294	-0.244378	-0.311767	-0.365675	-0.308688	-0.6755	0.229865	0.518036	-0.429092	-0.209626	-1.16187
35	426	640	239	152	182	182	282.54	195.754	299.569	196.158	318.347	200.401	352.312	204.446	370.767	205.872	388.209	208.338	331.397	244.144	-7.85858	11.979	0.505346	-0.961307	-1.13163	-0.503904	-1.63074	-0.897017	-0.807838	-1.44555	0.493713	0.0204543	-0.575625	-1.50951	-1.01347	-1.09424	-0.802043	-1.29919	0.0328487	-0.948013	-0.836391	-2.30777	-0.3263	-0.917242	-0.20897	-0.350212	-0.43743	-0.335555	-0.57383	0.169677	0.466345	-0.433922	-0.227306	-1.04661
36	426	640	239	152	182	182	282.327	196	299.484	196.478	318.207	200.551	352.241	204.505	371.086	205.64	388.21	208.3	331.257	243.834	-7.93516	11.4838	0.264615	-0.959916	-1.23498	-0.518134	-1.65203	-0.830698	-0.788728	-1.32734	0.396925	0.054218	-0.590968	-1.49919	-0.908491	-1.05112	-0.786879	-1.37196	0.0419749	-0.936587	-0.767312	-2.14202	-0.248102	-0.934147	-0.220636	-0.285468	-0.486481	-0.208957	-0.615791	0.156694	0.408331	-0.448139	-0.292453	-0.958247
37	426	640	239	152	182	182	282.293	196.475	299.553	196.005	318.136	200.792	352.131	204.524	371.496	205.736	388.056	208.085	331.436	244.547	-7.76917	11.8157	0.385127	-1.24671	-1.15627	-0.532116	-1.48944	-0.880356	-0.750407	-1.33406	0.400453	-0.254214	-0.416121	-1.51369	-1.10468	-1.058	-0.788815	-1.35961	0.127732	-0.918383	-0.702045	-2.17427	-0.336897	-0.919312	-0.173061	-0.436539	-0.555835	-0.392201	-0.638076	0.128985	0.393236	-0.394894	-0.206775	-1.07187
38	426	640	238	152	183	183	282.191	196.133	299.662	196.409	318.196	200.665	352.347	204.599	371.279	206.354	388.439	208.372	331.176	243.909	-7.72188	11.6876	0.619917	-1.11248	-1.11119	-0.520443	-1.5016	-0.895838	-0.737626	-1.27264	0.244	-0.033086	-0.461531	-1.58058	-0.931886	-1.10759	-0.808318	-1.34112	0.0452234	-0.925853	-0.776385	-2.18686	-0.272538	-1.01929	-0.215596	-0.235295	-0.488313	-0.36165	-0.617322	0.136456	0.421258	-0.450587	-0.249465	-1.07965
39	426	640	238	152	182	182	282.365	195.412	299.222	195.911	318.261	200.234	352.312	204.443	371.32	205.538	388.302	208.508	331.221	244.023	-7.82849	12.136	0.793052	-0.911229	-1.13284	-0.528247	-1.71754	-0.864209	-0.708278	-1.53647	0.495645	0.205719	-0.65019	-1.40561	-0.93194	-1.10595	-0.805137	-1.33706	0.033711	-0.911031	-0.738012	-2.18754	-0.262825	-1.05198	-0.184323	-0.357396	-0.491391	-0.338317	-0.615969	0.221347	0.457972	-0.443923	-0.253327	-1.23277
40	426	640	238	152	182	182	282.461	195.464	299.723	195.981	318.364	200.222	352.421	204.371	371.154	205.173	388.416	208.372	331.114	244.353	-7.87583	11.6114	0.766873	-0.787048	-1.15988	-0.531021	-1.70287	-0.91737	-0.718557	-1.46334	0.542193	0.168336	-0.635534	-1.43278	-0.924969	-1.10798	-0.805389	-1.3085	-0.133616	-0.920642	-0.798639	-2.16142	-0.321471	-1.14862	-0.212326	-0.328316	-0.335616	-0.45878	-0.633877	0.182915	0.44263	-0.454913	-0.197373	-1.21514
