FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
32	426	640	244	152	184	184	287.098	196.467	303.912	196.085	323.293	200.651	357.621	204.252	374.93	204.968	393.897	207.672	337.652	245.228	-7.58215	13.6183	3.95327	-1.16391	-1.15934	-0.559251	-1.55867	-1.4308	-0.551529	-1.92912	0.49135	-0.0472648	-0.388673	-1.21066	-0.971808	-1.21727	-0.824922	-1.64408	-0.653418	-0.836499	-0.275943	-1.60215	-0.101044	-1.27758	-0.261652	-0.594449	-0.412555	-0.766193	-0.898258	0.152022	0.260787	-0.281654	-0.0301731	-0.889549
33	426	640	243	152	183	183	286.697	196.638	303.396	196.131	322.77	200.979	356.984	204.732	375.545	205.726	393.141	208.313	336.84	244.651	-7.48205	13.138	3.42215	-1.2352	-1.14468	-0.564058	-1.53159	-1.29949	-0.697965	-1.88332	0.763557	-0.390204	-0.359425	-1.46095	-1.01669	-1.20539	-0.830818	-1.78343	-0.599455	-0.933064	-0.601407	-1.93131	-0.125348	-1.13314	-0.25002	-0.644972	-0.585525	-0.648595	-0.776462	0.206437	0.279798	-0.352582	-0.061747	-1.10499
34	426	640	241	153	185	185	284.955	198.041	302.535	196.931	321.372	202.12	355.909	205.62	373.306	206.2	392.403	208.931	336.118	246.729	-7.37289	12.8822	4.51085	-1.19255	-1.07841	-0.520073	-1.38179	-1.0703	-0.919514	-1.60367	0.360466	-0.213871	-0.350981	-1.53895	-1.04704	-1.19956	-0.829966	-1.58236	-0.535874	-0.941782	-0.623708	-1.41108	-0.23463	-1.08081	-0.0922432	-0.546857	-0.36957	-0.549035	-0.878355	0.174887	0.448586	-0.300864	-0.0372709	-0.89746
35	426	640	241	153	184	184	285.096	197.265	301.756	196.397	321.363	201.665	355.761	205.471	373.22	206.408	392.113	209.107	335.422	246.339	-6.63759	13.1588	2.62096	-1.07195	-1.17886	-0.466435	-1.60094	-1.349	-0.735799	-1.98705	0.602341	0.0260157	-0.477365	-1.19151	-0.973432	-1.20643	-0.830906	-1.62609	-0.48471	-0.922337	-0.678969	-1.59779	-0.166758	-0.888373	-0.0836805	-0.551995	-0.579404	-0.684312	-0.838507	0.286922	0.470738	-0.46285	-0.127431	-1.00515
36	426	640	241	153	184	184	285.153	197.671	302.146	197.115	321.391	201.95	355.76	205.641	373.564	206.497	392.08	209.157	336.477	246.562	-7.05812	13.2381	4.05723	-1.10186	-1.15978	-0.511087	-1.66824	-1.13068	-0.727364	-1.85194	0.661252	-0.0369756	-0.540905	-1.30564	-1.03855	-1.21554	-0.829911	-1.69537	-0.597668	-0.905082	-0.61867	-1.56896	-0.127714	-1.11933	-0.137629	-0.606882	-0.555396	-0.708914	-0.811427	0.190693	0.453105	-0.332231	-0.0946885	-0.937031
37	426	640	241	153	185	185	285.268	197.882	302.393	197.442	321.673	202.273	356.202	206.071	373.812	207.27	392.691	209.695	336.341	247.105	-7.03699	12.6166	2.70183	-1.20848	-1.17015	-0.622688	-1.64479	-1.17446	-0.719777	-1.82149	0.475406	-0.126662	-0.48388	-1.19247	-0.915652	-1.21825	-0.829594	-1.6572	-0.529597	-0.926646	-0.732167	-1.52829	-0.220146	-1.22289	-0.06359	-0.607436	-0.471223	-0.728966	-0.901666	0.205892	0.432645	-0.367069	-0.10803	-0.969256
38	426	640	242	153	185	185	285.884	197.709	303.461	197.3	322.349	202.079	356.934	205.856	374.109	206.485	393.483	209.457	336.397	247.337	-7.0005	12.8803	2.92449	-1.18309	-1.15771	-0.709363	-1.48597	-1.24159	-0.794322	-1.77019	0.242745	-0.175358	-0.359945	-1.33341	-0.662941	-1.22026	-0.829616	-1.55648	-0.63116	-0.979619	-0.775315	-1.57321	-0.12174	-1.06483	-0.0168704	-0.498516	-0.338895	-0.769162	-1.01748	0.274323	0.51361	-0.439541	-0.129455	-0.79691
39	426	640	242	152	185	185	285.806	197.116	303.016	196.63	322.323	201.569	356.959	205.424	374.085	206.899	393.561	209.108	336.752	246.352	-7.25948	12.7764	3.10435	-1.04582	-1.15653	-0.595044	-1.56677	-1.31302	-0.759984	-2.05011	0.490648	0.0413811	-0.456451	-0.956718	-0.924	-1.23359	-0.824351	-1.64384	-0.624104	-0.891231	-0.651156	-1.49145	-0.156817	-1.26972	-0.134776	-0.615079	-0.37228	-0.722583	-0.899117	0.290051	0.472288	-0.325933	-0.0858037	-0.810398
40	426	640	244	157	179	179	286.752	200.431	303.124	201.026	321.962	204.49	355.355	207.984	373.515	210.539	390.642	211.301	335.832	247.179	-8.22537	9.01948	2.45168	-2.46148	-1.05282	-0.251433	-1.32202	-1.75546	0.0589934	-1.87936	0.961693	-1.04928	0.128642	-1.45478	-0.296536	-0.786868	-0.771088	-1.48422	-0.897624	-0.781532	0.0851019	-1.40457	-0.618675	-0.983667	-0.0328522	-0.276332	-0.32823	-0.388139	-1.00835	0.491917	0.599325	-0.589311	-0.204217	-1.33528
41	426	640	242	155	182	182	285.6	198.76	302.523	198.891	321.517	203.166	355.584	206.98	374.869	209.663	391.586	210.628	335.23	246.815	-7.96234	11.0219	2.8106	-1.79099	-0.972281	-0.413324	-1.13135	-1.7606	-0.000674335	-2.14885	0.783127	-0.532958	0.128056	-1.2239	-0.336727	-1.13037	-0.829365	-1.33443	-1.05268	-0.599857	0.616878	-1.39596	-0.478479	-1.26878	-0.0485492	-0.438195	-0.35031	-0.617535	-0.967794	0.572067	0.475728	-0.482362	-0.05922	-0.893068
42	426	640	243	154	181	181	285.74	198.636	301.807	196.14	321.395	202.583	355.209	205.966	374.319	206.152	390.939	209.162	336.13	246.292	-8.0619	12.6361	3.674	-1.36498	-1.0073	-0.499688	-1.53458	-1.38454	-0.249826	-1.85742	0.777583	-0.246268	-0.322615	-1.20807	-1.09475	-1.20005	-0.821981	-1.48451	-0.791063	-0.751606	-0.0493237	-1.59834	-0.449249	-0.965547	-0.187784	-0.620127	-0.433253	-0.544166	-0.773507	0.316316	0.438756	-0.319282	-0.00704154	-0.896628
43	426	640	242	154	182	182	285.659	197.912	301.878	196.104	321.575	202.135	355.639	205.778	374.107	206.37	391.637	209.244	336.355	246.205	-7.60549	13.2602	2.96619	-1.1872	-1.10489	-0.637539	-1.53708	-1.30986	-0.54449	-1.79393	0.713512	-0.363139	-0.345014	-1.26676	-0.968084	-1.22523	-0.819616	-1.6386	-0.701764	-0.910125	-0.578582	-1.65253	-0.22499	-0.780927	-0.0469914	-0.614196	-0.481029	-0.608973	-0.745468	0.248068	0.48873	-0.277461	-0.0624335	-0.946497
44	426	640	242	153	184	184	285.433	197.609	302.69	196.385	321.786	201.732	356.263	205.275	374.128	206.446	392.694	208.632	336.58	245.974	-7.33145	13.2509	3.5409	-1.06746	-1.16756	-0.450379	-1.61889	-1.35603	-0.760075	-1.91896	0.647425	-0.0442961	-0.483277	-1.10287	-1.03357	-1.22889	-0.815934	-1.7197	-0.724595	-0.872992	-0.501472	-1.52096	-0.125979	-1.20015	-0.162886	-0.653941	-0.506523	-0.585802	-0.883889	0.183736	0.446278	-0.270963	-0.0899781	-0.861001
45	426	640	242	153	183	183	285.601	196.967	301.942	196.297	321.571	201.472	355.689	205.381	373.783	206.285	391.746	209.127	335.559	245.646	-6.82201	12.8384	2.07055	-1.1869	-1.24286	-0.567966	-1.49061	-1.48613	-0.604829	-2.17026	0.974737	-0.425803	-0.287443	-1.00264	-1.13813	-1.21573	-0.83083	-1.66819	-0.527464	-0.894761	-0.524881	-1.82595	-0.218029	-0.672386	-0.18306	-0.619924	-0.51715	-0.62611	-0.854098	0.286338	0.495954	-0.434385	-0.161184	-1.10691
46	426	640	241	152	184	184	285.018	196.864	301.745	195.533	321.237	201.436	355.592	205.407	373.619	206.901	391.899	209.216	335.589	246.321	-6.80069	12.8968	1.57296	-0.984188	-1.18295	-0.336089	-1.50617	-1.47985	-0.667556	-2.02604	0.684798	0.11279	-0.418202	-1.1481	-0.925098	-1.23091	-0.827761	-1.59722	-0.553053	-0.892788	-0.571686	-1.58944	-0.137911	-0.8737	-0.170004	-0.540699	-0.482711	-0.71295	-0.857536	0.28042	0.478128	-0.394994	-0.099565	-1.0007
47	426	640	241	152	183	183	284.669	196.858	301.331	196.33	320.78	201.054	355.028	204.667	374.08	206.395	391.219	208.101	335.185	244.681	-6.96746	12.1807	1.81044	-1.00486	-1.29012	-0.423489	-1.59777	-1.50267	-0.537223	-2.12907	0.785322	0.0712761	-0.440157	-0.952625	-1.3257	-1.22629	-0.830591	-1.68298	-0.514489	-0.831945	-0.47043	-1.60466	-0.0723723	-0.637363	-0.248972	-0.488572	-0.654728	-0.750954	-0.669078	0.1697	0.33251	-0.360422	-0.153284	-1.07695
